UUID,Title,Author,Language,Description,AI Result,Call to Action with Gemini_fewshot_v3
c00c7ed1-9b61-47ff-8324-742a4815e87e,Who's who in the Bible / Claire Llewellyn. ,"Llewellyn, Claire.",English,,"Unravel the mysteries and meet the legends. Discover **Who's Who in the Bible**. 
","Unravel the mysteries and meet the key players of the Bible in Who's Who in the Bible.
"
d8510561-5809-4456-bba4-50e61583be97,Information analysis and retrieval. ,"Kent, Allen.",English,,"**Unlock the secrets of finding anything. Dive into ""Information Analysis & Retrieval"" by Allen Kent.** 
","Uncover the secrets of knowledge: dive into Information Analysis and Retrieval.
"
b6638e80-a685-42d3-99a0-803ea98628fe,The island of Doctor Moreau / H.G. Wells. ,"Wells, H. G. (Herbert George), 1866-1946.",English,,"Dare to visit *The Island of Doctor Moreau*? H.G. Wells' classic will chill you to the bone. 
","Dare to venture to The Island of Doctor Moreau, where the boundaries of humanity blur and the chilling secrets of science await.
"
6640c5e6-c137-4546-858d-2c5fbaf69536,Puccini : his international art / Michele Girardi ; translated by Laura Basini. ,"Girardi, Michele.",English|Italian,,"**Uncover the global genius of Puccini's music. Dive into his international artistry.** 
","Discover the international artistry of Puccini in both English and Italian – a must-read for music lovers.
"
3b31383a-02c2-41ab-b0dc-b3b43425380f,"Professional negligence / by A.M. Dugdale, K.M. Stanton ; assistant editor, J.E. Parkinson. ","Dugdale, Anthony M.",English,,"**Need the upper hand?** Dive into ""Professional Negligence"" and learn how to navigate those tricky legal waters. 
","Dive into the world of legal liabilities with Professional Negligence and discover the consequences of falling short of duty.
"
f89de6ef-122a-4f32-a570-c14e95d516af,"Secrets of Ayurveda / Gopi Warrier, Harish Verma, and Karen Sullivan. ","Warrier, Gopi.",English,,"**Unlock the ancient wisdom of Ayurveda and discover its secrets for a healthier, happier you. ** 
","Unlock ancient wellness wisdom with Secrets of Ayurveda and discover a healthier, more balanced you.
"
aaa3918e-f27b-4c59-bb7f-cab399cc09fa,A guide to A portrait of the artist as a young man / Iona McGregor with Tony Buzan. ,"McGregor, Iona.",English,,"Unlock the secrets of Joyce's masterpiece with ""A Guide to A Portrait of the Artist as a Young Man."" 
","Unlock the secrets of Joyce's masterpiece with this insightful guide to A Portrait of the Artist as a Young Man.
"
bfaa6ad4-dbc5-430b-a621-1316752de4c1,3-6 sui qin zi jiao xue you xi / Qu Mujie zhu bian. 3-6岁亲子教学游戏 / 区慕洁主编. ,,Chinese,,"Unlock your inner child! ""3-6 sui qin zi jiao xue you xi"" explores fun and educational games for bonding with little ones. 
","想和孩子一起快乐学习，共同成长吗？3-6岁亲子教学游戏，让学习充满乐趣！
"
025d64f5-bb4e-4e3b-b0f2-c3af59ab492c,Volcano! / Ellen J. Prager ; illustrated by Nancy Woodman. ,"Prager, Ellen J.",English,,"Erupt into the fiery world of volcanoes! Ellen J. Prager explores their explosive power and breathtaking beauty. 🌋 
","Erupting with excitement, Volcano! will blow you away.
"
6b886089-f5e6-4690-84e9-6c8b16f7fe4b,Misteri akibat dadah / Ramlan Salim. ,Ramlan Salim.,Malay,,"Unravel the dark secrets of addiction in ""Misteri Akibat Dadah"" by Ramlan Salim. 
","Terbongkar misteri gelap akibat dadah – adakah anda berani selami Misteri Akibat Dadah?
"
d89645b4-92b5-40fc-9b11-93ff12912bc1,McGraw-Hill encyclopedia of world drama. ,,English,,"Unravel the dramatic tapestry of the world. Dive into the ""McGraw-Hill Encyclopedia of World Drama."" 
","Unmask the world's dramatic masterpieces with the McGraw-Hill Encyclopedia of World Drama.
"
9de6fdf0-267b-441f-9eb7-d2adaccc7ab1,"National University of Singapore Public Policy Programme Conference : perspectives on public policy in the 21st century, 6-8 September 1999, Orchard Hotel : Session B [on] facing the technology challenges of the 21st century. ",National University of Singapore Public Policy Programme Conference (1999 : Singapore),English,,"Dive into the biggest tech challenges of the 21st century at the 1999 NUS Public Policy Conference - see how the future unfolded! 
","Confront the future head-on explore how public policy tackles 21st-century tech challenges in this insightful conference compilation.
"
4ae65a53-51da-49ba-a5b9-fec50a5ca60f,The book of dead birds : a novel / Gayle Brandeis. ,"Brandeis, Gayle.",English,,"**Secrets and dead birds collide in Gayle Brandeis's haunting novel, ""The Book of Dead Birds.""** 
","Uncover the secrets hidden within The Book of Dead Birds – a captivating novel waiting to take flight.
"
4fbbbf57-f3b4-48c9-8185-ce9f6917c604,The poisonwood Bible / Barbara Kingsolver. ,"Kingsolver, Barbara.",English,,"**Journey to the heart of Africa in The Poisonwood Bible, a captivating tale of family and forgiveness.** 
","Journey to the heart of the Congo with The Poisonwood Bible and witness a family unravel amidst cultural clashes and personal awakenings.
"
d33e9c83-392f-44b0-b79f-9924cf87998f,Luann 3 : sixteen isn't pretty / by Greg Evans. ,"Evans, Greg, 1947-",English,,"Turning sixteen is tough... just ask Luann. Dive into the drama and laughs in ""Luann 3: Sixteen Isn't Pretty."" 
","Sixteen is awkward, hilarious, and totally relatable – dive into Luann 3 and see if you survive.
"
95423368-4685-4250-9e05-3b9969cc8b13,"Three Indian poets : Nissim Ezekiel, A.K. Ramanujan, Dom Moraes / Bruce King. ","King, Bruce Alvin.",English,,"Dive into the vibrant world of modern Indian poetry with ""Three Indian Poets,"" exploring the works of Ezekiel, Ramanujan, and Moraes. 
","Dive into the vibrant world of Indian poetry with Ezekiel, Ramanujan, and Moraes – three voices you won't forget.
"
311e375a-9856-47bc-bf8c-87c8bd9b4e80,Living in the raw gourmet / Rose Lee Calabro. ,"Calabro, Rose Lee.",English,,"Craving delicious food that makes you feel amazing? **Go raw with gourmet recipes** from Rose Lee Calabro! 
","Unleash your inner chef and discover the delicious world of raw gourmet with Living in the Raw Gourmet.
"
a087d63a-6dbd-4d31-8285-9b79f8d4d7df,Zhong guo dian ying nian jian = China film yearbook / Zhong guo dian ying nian jian she bian zuan. 中国电影年鉴 = China film yearbook / 中国电影年鉴社编纂. ,,chieng,,"Dive into the world of Chinese cinema with the ""China Film Yearbook,"" your annual guide to the magic of movies! 
","中国电影年鉴： 记录光影故事，探索中国电影的精彩世界。(Zhong guo dian ying nian jian: Ji lu guang ying gu shi, tan suo Zhong guo dian ying de jing cai shi jie"
7c47d1ad-a518-487c-83d5-dcb7b7f25503,The big book of color in design / edited by David E. Carter. ,,English,,"**Unleash your inner artist!** Dive into ""The Big Book of Color in Design"" and master the art of color. 
","Unleash your inner artist and explore the vibrant world of design with The Big Book of Color in Design.
"
22e523c4-dfcc-43f5-8f68-cfa00361e48b,[Calendar]. ,University of British Columbia. School of Librarianship.,English,,"Plan your next chapter! The UBC School of Librarianship presents [Calendar] - your guide to academic success. 
","Mark your days with intrigue and borrow Calendar today.
"
992eebef-9821-4eac-9eb6-f16477710cf2,"Encyclopedia of northwest music : from classical recordings to classic rock performances, your guide to the best of the region / James Bush. ","Bush, James, 1961-",English,,"**Rock out to classical vibes!** Discover the Northwest's best music, from recordings to live gigs, in this epic encyclopedia. 
","Unleash your inner music lover and explore the Northwest's vibrant soundscape from classical to classic rock with this ultimate guide.
"
c9eb6e0b-e153-42ea-aaa5-6e47fc8e5e68,The quark and the jaguar : adventures in the simple and the complex / Murray Gell-Mann. ,"Gell-Mann, Murray.",English,,"**Unravel the mysteries of the universe: from tiny quarks to the complex dance of life in ""The Quark and the Jaguar.""** 
","Unravel the mysteries of the universe from the simple quark to the complex jaguar in Gell-Mann's mind-bending adventure.
"
8b2b37c2-9eba-4268-bbb9-1488615d5a00,Early child care in France / by Myriam David and Irène Lézine. ,"David, Myriam.",English,,"Discover the French approach to early child care with ""Early Child Care in France"" by Myriam David and Irène Lézine. 
","Discover the French approach to early childhood care with Myriam David and Irène Lézine's insightful book.
"
74e59651-db7c-402a-964b-655ab87da801,"Qi huan kong long gong yuan  : gu sheng dai de shi jie / bian hui, Pan Zhihui. 奇幻恐龙公园 : 古生代的世界 / 编绘, 潘志辉. ",,Chinese,,"Journey to a fantastical prehistoric world in ""Qi huan kong long gong yuan,"" where dinosaurs roam and ancient secrets await.  
","踏入奇幻恐龙公园，回到古生代，开启一段惊险刺激的冒险之旅！
"
a9dff0bc-68b0-4274-ad36-fb7a6da3afd5,The fade / Chris Wooding. ,"Wooding, Chris, 1977-",English,,"**What happens when reality itself starts to fade? Dive into Chris Wooding's chilling thriller, ""The Fade.""** 
","Experience The Fade, a must-read for anyone who craves a gripping story. 
"
3ac3db31-8082-449e-adaa-b3c325d9a951,"Juniper Networks reference guide : JUNOS routing, configuration, and architecture / Thomas M. Thomas ... [et al.]. ",,English,,"**Master the power of JUNOS!**  Dive deep into routing, configuration, and architecture with this comprehensive guide. 
","Master the power of JUNOS: Dive into routing, configuration, and network architecture with this essential Juniper Networks guide.
"
817a3212-c4e9-494c-a6f9-2b862174c2df,Magic tricks : get started in a new craft with easy-to-follow projects for beginners / Peter Eldin. ,"Eldin, Peter, 1939-",English,,"**Unleash your inner magician!** Learn easy magic tricks with ""Magic Tricks: Get Started in a New Craft."" 
","Unleash your inner magician with easy-to-follow magic tricks and start wowing your friends today!
"
d0f85983-917f-4130-9279-37c4c5697762,"Kleppner's advertising procedure / J. Thomas Russell, W. Ronald Lane. ","Russell, Thomas, 1941-",English,,"**Want to master the art of persuasion? Dive into ""Kleppner's Advertising Procedure"" and learn the secrets behind impactful campaigns.** 
","Master the art of persuasion with Kleppner's Advertising Procedure and launch your own creative campaigns.
"
7bb7c7be-0ab3-432f-890a-819f60323ef1,Running on fumes / Franklin W. Dixon. ,"Dixon, Franklin W.",English,Frank and Joe travel to California where they investigate the leader of a utopian community and his followers to see if they intend to sabotage the oil industry. ,"Utopia or sabotage? The Hardy Boys uncover a sinister plot targeting California's oil in ""Running on Fumes."" 
","Utopia or conspiracy?  Ride with the Hardy Boys to California and uncover the truth behind a community running on fumes.
"
eadecff1-38ad-495c-909f-5472c8a9ef88,Business beyond the box : applying your mind for breakthrough results / John O'Keeffe. ,"O'Keeffe, John.",English,,"**Think outside the cubicle:  ""Business Beyond the Box"" will unlock your potential for killer results. ** 
","Unleash your inner innovator and shatter expectations – Business Beyond the Box will help you achieve breakthrough results.
"
ac98d9f0-ac7a-4878-b0b2-41ecea9cb2c0,The war of the worlds / by H.G. Wells ; adapted by Mary Ann Evans ; illustrated by Paul Wenzel ; [cover illustration by Neil Mcpheeters]. ,"Evans, Mary Ann.",English,"As life on Mars becomes impossible, Martians and their terrifying machines invade the earth. ","Martians invade Earth with terrifying machines! Will humanity survive H.G. Wells' classic, adapted by Mary Ann Evans? 
","Martians invade Earth with terrifying machines—will humanity survive?  Borrow The War of the Worlds and find out.
"
5dfdaa40-98d1-4ed9-b460-870606c73e8b,SWT/JFace in action / Matthew Scarpino ... [et al.]. ,,English,,"Master Java UI design! ""SWT/JFace in Action"" is your guide to building sleek, powerful applications. 
","Master Java UI development with SWT/JFace in Action – build dynamic and powerful desktop applications today.
"
5c1dfd57-622a-496d-9500-def2d7f77a3d,"M*A*S*H. TV season six [videorecording] / directors, Karen Hall, Hy Averback. ",,English|French|Spanish,The adventures continue for the doctors and nurses of the 4077th unit during the Korean War. Includes all of the episodes from the 1977-78 season. ,"Relive the laughs and drama of the 4077th!  M*A*S*H Season Six - all the episodes from '77-'78. 
","Binge the hilarious and heartbreaking antics of the MASH 4077th: their Korean War saga continues in this classic sixth season.
"
5e22c0b3-9e62-4e05-aaad-e86840fc8e80,I know how we fight germs / Kate Rowan ; illustrated by Katharine McEwen. ,"Rowan, Kate.",English,,"**Want to fight germs like a pro? This book spills the tea. (Illustrations included!)** 
","Uncover the secrets to fighting germs with Kate Rowan's I Know How We Fight Germs.
"
f3e2cb9b-07e8-496d-ba27-64b5228ecdef,Eat cake / Jeanne Ray. ,"Ray, Jeanne.",English,,"**Indulge in a delicious escape. Borrow ""Eat Cake"" today!** 
","Indulge in a sweet escape with Eat Cake – a delicious read you won't want to put down.
"
253e3ebc-56bf-408b-a917-dd4169de6123,Working with computer type : experimental typography / Rob Carter. ,"Carter, Rob.",English,,"**Want to push the boundaries of design? Explore experimental typography in ""Working with Computer Type"" by Rob Carter.** 
","Unleash your inner digital artist: experiment with typography and redefine the boundaries of design in Working with Computer Type.
"
5ff793d2-1e79-4a13-b416-ac1bb077e58b,Bing qi shi zu / Sun wei tao...[deng] bian zhu. 兵器始祖 / 孙维韬...[等]编著. ,"Sun, Wei Tao.|孙维韬.",Chinese,,"Uncover the fascinating origins of weaponry in ""兵器始祖"" by Sun Wei Tao. Explore the ancient roots of combat technology! 
","探索兵器起源的奥秘，揭开古代战争的迷雾——《兵器始祖》等你来开启！
"
376242c3-0780-4842-a4f3-d2413ac5ccb1,Teaching library skills in schools / James E. Herring. ,"Herring, James E.",English,,"**Need help navigating the library for research?  This book is your secret weapon!** 
","Become a library whiz and unlock a world of knowledge with Teaching Library Skills in Schools.
"
d914d46e-6f45-4e7f-ae87-223e94575664,"33 duo mei li de qi ji = Small miracles / zuo zhe, Yedi Hangbositan, Zhudisi Liwenfo ; yi zhe, Zhu Yi. 33朵美丽的奇迹 = Small miracles / 作者, 叶蒂。杭伯斯坦、茱蒂斯。李文佛 ; 译者, 朱衣. ","Mandelbaum, Yitta Halberstam.",Chinese|English,,"Discover 33 inspiring stories of resilience and hope in ""Small Miracles"" by Yitta Halberstam, a testament to the power of the human spirit. 
","Experience 33 small miracles in two languages – a beautiful journey in both English and Chinese awaits.
"
8fa44d08-cf9a-49dc-b909-dd06f3bc31bc,Hi-tech '800 maquinas = hi-tech '800 machines. ,,mul,,"Blast to the future with ""Hi-Tech '800 Machines""! Relive the tech dreams of the 1980s. 
","Dive into the world of HiTech 800 machines.
"
a07dccc5-d6c2-43dd-9d4a-b82ff3033ac8,The burning / Bentley Little. ,"Little, Bentley.",English,,"**Something sinister is burning in Bentley Little's latest thriller. Will you dare face the flames?** 
","Ignite your fear with The Burning – how long can you withstand the heat?
"
d87ea7ef-1e02-49b3-9196-f67d3d013611,"Flies / by Cheryl Coughlan ; consulting editor, Gail Saunders-Smith ; consultant, Gary A. Dunn. ","Coughlan, Cheryl.",English,Simple text and photographs present the features and behavior of flies. ,"Unveiling the captivating world of flies: their secrets, behaviors, and more. Dive into ""Flies"" by Cheryl Coughlan. 
","Buzz into the fascinating world of flies and discover their secrets through captivating photos and easy-to-understand facts.
"
2151c59d-0986-4435-89ff-b17b06bdfb69,A history of British and American etching / by James Laver. ,"Laver, James, 1899-",English,,"**Dive into the artistry of etching with ""A History of British and American Etching"" by James Laver. ** 
","Dive into the intricate world of etching with A History of British and American Etching and explore a legacy of artistry.
"
f8c2dc0f-27cc-444e-9311-a8adce3959e8,Where's the dinosaur? / illustrated by Keith Moseley. ,,English,"Grandfather, George, and Meg the dog are on the hunt for dinosaurs. Count how many dinosaurs you can find as you join them on their search. ","Join the dino hunt! Can you find more prehistoric pals than George and Grandpa? 🦖 #WheresTheDinosaur 
","Join George, Grandpa, and Meg on a prehistoric hide-and-seek adventure in Where's the Dinosaur? and spot all the dinos you can!
"
e739fa9f-d9f2-4b53-98ba-0908c0fb08ed,"Marketing communications : a European perspective / Patrick De Pelsmacker, Maggie Geuens, Joeri Van den Bergh. ","Pelsmacker, Patrick de, 1957-",English,,"**Unlock the secrets of European marketing with ""Marketing Communications"" by De Pelsmacker, Geuens & Van den Bergh!** 
","Conquer the world of marketing with a European twist – borrow Marketing Communications and gain a fresh perspective.
"
871e3e67-2fe1-48fa-8870-caaa5c31baf3,Buddhist devotion and meditation : an objective description and study. ,"Pe Maung Tin, U.",English,,"Dive deep into Buddhist practice!  ""Buddhist Devotion and Meditation"" offers an insightful exploration of meditation and devotion. 
","Find inner peace and understanding: explore the path of Buddhist devotion and meditation.
"
174c77ab-fbc9-4639-b920-6312815153c4,Kitchen planning and design : guidelines for foodservice operators. ,,English,,"**Want the dream kitchen? This book's got your back! Design a food lover's paradise.** 
","Dreaming of your own restaurant? Design the perfect kitchen with Kitchen Planning and Design and bring your culinary vision to life.
"
95e0f377-c5f2-4cb0-a2e4-0ea36d5793f6,Jalopy : a car's story in five drivers / Geraldine McCaughrean ; illustrated by Ross Collins. ,"McCaughrean, Geraldine.",English,,"**Five drivers. One jalopy. Whose story will it tell?** 
","Five drivers, one jalopy, countless stories buckle up for a road trip through life.
"
86d0e861-de12-42b7-bc75-4a9991005913,The new renaissance : computers and the next level of civilization / Douglas S. Robertson. ,"Robertson, Douglas S.",English,,"Ready for the next level? 🤖 ""The New Renaissance"" explores how computers are shaping the future of civilization. 
","Ready to level up? Dive into The New Renaissance and explore how computers are shaping the future of civilization.
"
f30e9aed-6e47-474a-a722-5ca3767ae9fe,The Year's work in the theatre. ,,English,,"**Dive into the best and brightest of the stage – explore ""The Year's Work in the Theatre""** 
","Uncover the magic of the stage with The Year's Work in the Theatre.
"
b58eaf6e-8327-41ab-8c50-c63850497e5a,Papier mâché / Peter Rush. ,"Rush, Peter, 1937-",English,,"Unleash your creativity! ""Papier Mâché"" by Peter Rush will inspire your next DIY project. 
","Uncover the secrets hidden within Papier Mâché – a story waiting to be explored.
"
8f212964-aed3-4b1a-8a0b-91ab8883a01e,Birds of tropical Asia 3.0 [electronic resource] : sounds and sights / Jelle Scharringa. ,"Scharringa, Jelle.",English,"Includes 2,090 sound recordings (20 hours) of 911 species and 700 photographs of 483 species. ","Immerse yourself in the sights & sounds of 911 tropical bird species with 20 hours of audio and hundreds of stunning photos. 
","Experience the symphony of tropical Asia with 20 hours of birdsong and hundreds of stunning photos in Birds of Tropical Asia 3.0.
"
de39b07b-44dd-4f60-8969-612fa897f9f5,Zhong gong li shi de jian zheng : Sima Lu hui yi lu / Sima Lu zhu. 中共历史的见证 : 司马璐回忆录 / 司马璐著. ,"Sima, Lu, 1919-|司马璐, 1919-",Chinese,,"Dive into the heart of Chinese history with ""Zhong gong li shi de jian zheng,"" a captivating memoir by Sima Lu, a firsthand witness to pivotal events. 
","一段中国共产党历史的亲身见证，司马璐的回忆录等你来探索。
"
05646ee6-75f0-4c21-b93d-867892696388,Economics of labor relations [by] Gordon F. Bloom [and] Herbert R. Northrup. ,"Bloom, Gordon Falk, 1918-",English,,"**Dive into the fascinating world of work with ""Economics of Labor Relations"" by Bloom & Northrup!** 
","Dive into the fascinating world of worker-employer dynamics with Economics of Labor Relations.
"
9a20afd1-4460-44b2-ad22-3629c3cb3b2a,Revelation / J. Vernon McGee. ,"McGee, J. Vernon (John Vernon), 1904-",English,,"Unveiling the mysteries of Revelation with J. Vernon McGee. Borrow now and unlock the end times! 
","Unveil the mysteries of Revelation with J. Vernon McGee and explore the epic finale of biblical prophecy.
"
5df9ff94-8d45-412f-85c0-edf10e9cc766,The roots of Acehnese rebellion 1989-1992 / Tim Kell. ,"Kell, Tim.",English,,"Uncover the truth: What sparked the Acehnese rebellion?  
","Uncover the hidden history of Aceh: Explore the roots of rebellion in The Roots of Acehnese Rebellion 1989-1992.
"
19be16e4-1f15-4fb9-9478-29db838adda1,Samaritan [sound recording] / Richard Price ; produced by Robert Kessler. ,"Price, Richard, 1949-",English,"Ray Mitchell, a former TV writer, has returned to his hometown to reunite with his estranged teenage daughter, Ruby. Eager to contribute to his beleaguered community, Ray begins volunteering as a writing teacher at a local high school. When a brutal assault leaves him hospitalized, Nerese Ammons, a nearly retired detective and lost childhood friend of Ray's, investigates. She discovers, however, that while Ray can identify his attacker, he is unwilling to disclose their identity. Anxious to end her career with fireworks, Nerese continues digging, only to find that Ray made several generous donations to poor acquaintances and recently began a romantic relationship with the wife of an established criminal. While the case looks closed, Nerese continues to find evidence of Ray's troubled past and shortsighted altruism, increasing the number of possible assailants and suggesting Ray's complicity in the crime. ","A brutal attack. A mysterious past. Can a good deed really make you a target? 
","A good Samaritan with a dark secret? Unravel the mystery in Richard Price's Samaritan.
"
b59b34f1-8c7f-4468-8508-1b6d738da7cd,Mama and Daddy Bear's divorce / Cornelia Maude Spelman ; illustrated by Kathy Parkinson. ,"Spelman, Cornelia.",English,Dinah Bear feels sad and scared when her parents say they are going to divorce. ,"**Dinah Bear navigates the emotional rollercoaster of divorce. Can this family find their way back to happiness?** 
","Facing a family split Dinah Bear's story will resonate with anyone navigating the tough stuff  borrow Mama and Daddy Bears divorce today.
"
5b65a6c1-55fb-42a4-9cef-313e3befe205,The Standard periodical directory. ,,English,This directory may be used to identify specialized trade journals as possible sources of business information or advertising. ,"Need to target your business?  Find the perfect trade journal in ""The Standard Periodical Directory."" 
","Uncover a goldmine of business insights and advertising opportunities within the pages of The Standard Periodical Directory.
"
d7b2fd60-9fa9-4a69-9101-38ee0709393d,Project profiles. ,New Zealand Bilateral Assistance Programme.,English,,"Discover inspiring global initiatives making a real difference with ""Project Profiles."" 
","Dive into Project Profiles and discover the impactful work of the New Zealand Bilateral Assistance Programme.
"
36ad86f9-e17f-4fff-ab0b-9d6ed3aa12b8,The Odd egg / Emily Gravett.. ,"Gravett, Emily.",English,,"Duck, duck, twist! ""The Odd Egg"" by Emily Gravett will crack you up. Don't be chicken, borrow it now! 
","What will hatch from The Odd Egg? Borrow it and find out!
"
001154f9-9a47-4609-8498-1eaaffaf5f66,How to do your own painting and wallpapering. ,"Hand, Jackson.",English,,"**Ditch the dorm decor! 🎨  Learn to paint and wallpaper like a pro with ""How to do your own painting and wallpapering.""** 
","Ditch the dorm drab and design your own digs with Hand's guide to painting and wallpapering.
"
36df474d-3e3c-4046-8f13-251ac53a5f3f,The boys : the cinematic world of Laurel and Hardy / by Scott Allen Nollen ; with a foreword by John McCabe. ,"Nollen, Scott Allen.",English,,"Dive into the hilarious world of Laurel and Hardy! 🎬 ""The Boys: The Cinematic World"" reveals the magic behind their iconic comedy duo. 
","Step into the cinematic world of Laurel and Hardy and rediscover the timeless comedy of this iconic duo.
"
7f60c059-8df6-4a44-878a-3e2f4ebd5cfb,"Hong bi zi de xiao lu / [bian hui, Hua tong ka tong]. 红鼻子的小鹿 / [编绘, 画童卡通]. ",,Chinese,,"A little deer with a red nose? Uncover the whimsical tale of ""Hong bi zi de xiao lu"" and rediscover the magic of Chinese storytelling. 
","踏上小鹿红鼻子的奇幻旅程，开启一段暖心冒险！ (Embark on a heartwarming adventure with the little red-nosed deer!)
"
1e5d774f-26ee-4a3d-af90-bf4326aabab8,The marine aquarium for the home aquarist / by Robert F. O'Connell. ,"O'Connell, Robert Frank.",English,,"Dive into the captivating world of marine aquariums with expert guidance from Robert F. O'Connell. 🐠 
","Dive into the mesmerizing world of marine aquariums and create your own underwater oasis with The Marine Aquarium for the Home Aquarist.
"
803f5d3c-3e6c-43c5-87ad-0b2177858580,Even Pellerud on coaching & leadership in women's soccer / with Sam Kucey. ,"Pellerud, Even, 1953-",English,"This biography/coaching manual covers the philosophy and methods of one of the world's legendary coaches, Even Pellerud, coach of 1995 Women's World Cup Champion Norway and architect of the meteoric rise of the Canadian Women's National Team. ","**Want to coach like a champion?** Dive into the mind of Even Pellerud, legendary coach of World Cup winners! 
","Uncover the winning strategies of a legendary soccer coach and ignite your own leadership potential with Even Pellerud's insights.
"
10e54be5-7ef8-4fd3-9bca-9f2325636bb0,Kirkland revels / by Victoria Holt. ,"Holt, Victoria, 1906-1993.",English,,"**Uncover the secrets of Kirkland Revels in this captivating tale by Victoria Holt.** 
","Unravel the mysteries of Kirkland Revels with Victoria Holt's captivating tale.
"
26513036-8292-451c-8977-a9f2df3963c6,All that summer she was mad : Virginia Woolf and her doctors / Stephen Trombley. ,"Trombley, Stephen.",English,,"**Uncover the secrets behind Virginia Woolf's genius and fragility.** 
","Unravel the mysteries of Virginia Woolf's mind and her relationship with medicine in All That Summer She Was Mad.
"
0ab035c5-9b92-4e83-8ea3-8073c5c9b10e,The yellow river cantata  [sound recording] / words by Kiang Weijan ; music by Hsien Hsinghai ; performed by the Central Philharmonic Society ; recitation Wong Tingying;conductor Yen Liang Kun. ,"Hsien, Hsinghai.",Chinese,,"Experience the power of music and poetry! ""The Yellow River Cantata"" will move you with its dramatic performance of China's history.  
","黄河咆哮，星海激荡，且听中央爱乐倾情演绎《黄河大合唱》！
"
9f741c4f-06c4-4abd-a024-0e75204c28f9,Gadis rambut panjang / Maria Fransiska. ,"Fransiska, Maria.",Indonesian,,"Unravel the mystery of ""Gadis Rambut Panjang"" - Maria Fransiska's captivating tale. 
","Temukan kisah memikat Gadis Rambut Panjang, sebuah bacaan wajib dari Maria Fransiska.
"
14808338-c7b7-4b18-a765-ed48efc0d67a,"South Australian toy libraries : a survey, 1976 / compiled, written and edited by students of the South Australian Institute of Technology, Annie C. Dwyer ... [et al.]. ","Dwyer, Annie C.",English,,"**Discover the fascinating world of South Australian toy libraries in 1976!** 
","Dive into the world of play in 1976 South Australia – explore the fascinating history of toy libraries with this student-led survey.
"
cb67ef89-9c05-4576-91ea-9c6612ae1b5f,Yu ren de shi ji / Xing Ying zhu. 愚人的世纪 / 杏影著. ,"Xing, Ying, 1912-1967.|杏影, 1912-1967.",Chinese,,"Step into ""A Fool's Century"" and explore the captivating world crafted by Xing Ying. (Chinese language) 
","踏入愚人的世纪，杏影带你一窥荒诞人生。
"
d48e7604-ff9b-4d7f-a90c-ba2b75bb40e1,Qian mu yin xiang / Li zhen sheng bian. 钱穆印象 / 李振声编. ,,Chinese,,"Explore the fascinating world of Qian Mu through the eyes of others in ""Qian Mu Yin Xiang"" - a collection of impressions sure to intrigue and inspire. 
","钱穆印象：一窥大师风采，不容错过！
"
02548498-9d77-4689-8382-0f21bd7f0f15,Fa lan xi duan pian xiao shuo ji / Fu er tai deng zhu ; li qing ya yi. 法兰西短篇小说集 / 伏尔泰等著 ; 李青崖译. ,"Li, Qing Ya.|李青崖.",English,,"Dive into French literature with this captivating collection of short stories, translated by Li Qing Ya. 
","Dive into a collection of French short stories translated by Li Qing Ya and explore the captivating world of Voltaire and other French masters.
"
42dbc603-7837-44ff-814f-6f14a78db52d,My first Bible stories / [text by Christina Goodings ; illustrations by Stephen Barker]. ,"Goodings, Christina.",English,,"Rediscover the timeless stories of the Bible, beautifully retold in ""My First Bible Stories."" 
","Discover timeless Bible stories brought to life with beautiful illustrations in My First Bible Stories.
"
b20ccfcd-f269-4e0e-8785-d82b034022db,1960s : decades of the 20th century / Nick Yapp. ,"Yapp, Nicholas.",enggerfre,,"Blast back to the groovy 1960s! Explore a decade of change, revolution, and unforgettable music with Nick Yapp's captivating chronicle. 
","Groovy, baby! Dive into the 1960s, a decade of change, peace, and love.
"
d795cd52-6963-44bd-b504-3569ac66d92d,Slow down-- and get more done / Marshall J. Cook. ,"Cook, Marshall, 1944-",English,,"**Want to achieve more without burning out?  Discover the power of slowing down.** 
","Overwhelmed and overworked?  Slow down-- and get more done, discover the secret today.
"
75892ea0-24a4-47d6-8584-a92db9d91389,Baked from the heart : gifts of love for special occasions / recipes & styling by Stephanie Greenleigh ; photography by Kathryn Kleinman ; conceived & produced by Jennifer Barry Designs. ,"Greenleigh, Stephanie.",English,,"**Sweeten someone's day! ""Baked from the Heart"" has the perfect recipe for every special occasion. Get baking!** 
","Bake up some love with Stephanie Greenleigh's heartfelt recipes and styling tips for every special occasion.
"
f1b3a280-d497-431b-9317-0ece5ea352e4,"Plant biology : a concise introduction / Ross H. Arnett, Jr., George F. Bazinet, Jr. ","Arnett, Ross H.",English,,"Unravel the mysteries of the plant world with ""Plant Biology: A Concise Introduction"" by Arnett & Bazinet. 
","Unravel the secrets of the plant kingdom with Plant Biology: A Concise Introduction – your essential guide to the fascinating world of flora.
"
69d0f5e8-f094-4263-9288-a1931ba967ec,Essays on financial liberalization in East and Southeast Asia [microform] / by Veerathai Santiprabhob. ,Veerathai Santiprabhob.,English,,"**Unlock the secrets of financial freedom in Asia with Veerathai Santiprabhob's insightful essays.** 
","Unravel the complexities of Asian finance with Veerathai Santiprabhob's Essays on financial liberalization – a deep dive into East and Southeast Asian economies.
"
